start_time,end_time,instrument,note,start_beat,end_beat,note_value,Instrument Group
43486,97758,43,40,0.0,2.0,Half,3
67550,79326,1,76,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,52,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,55,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,71,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,67,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,59,1.0,0.400390625,Dotted Sixteenth,1
67550,79326,1,64,1.0,0.400390625,Dotted Sixteenth,1
97758,137182,43,43,2.0,1.5,Dotted Quarter,3
125406,134622,1,71,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,52,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,55,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,59,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,67,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,76,3.0,0.400390625,Dotted Sixteenth,1
125406,134622,1,64,3.0,0.400390625,Dotted Sixteenth,1
137182,150494,43,47,3.5,0.5,Eighth,3
150494,202206,43,48,4.0,2.0,Half,3
176094,185310,1,66,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,76,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,52,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,54,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,57,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,69,5.0,0.400390625,Dotted Sixteenth,1
176094,185310,1,64,5.0,0.400390625,Dotted Sixteenth,1
202206,252894,43,47,6.0,2.0,Half,3
226782,237534,1,67,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,59,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,55,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,52,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,76,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,71,7.0,0.400390625,Dotted Sixteenth,1
226782,237534,1,64,7.0,0.400390625,Dotted Sixteenth,1
252894,264670,43,45,8.0,0.5,Eighth,3
264670,272350,43,47,8.5,0.25,Sixteenth,3
272350,277982,43,45,8.75,0.25,Sixteenth,3
277982,288222,1,72,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,76,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,52,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,54,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,66,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,64,9.0,0.400390625,Dotted Sixteenth,1
277982,288222,1,60,9.0,0.400390625,Dotted Sixteenth,1
277982,283102,43,43,9.0,0.2001953125,Triplet Sixteenth,3
