start_time,end_time,instrument,note,start_beat,end_beat,note_value,Instrument Group
1502,51166,1,64,0.0,1.125,Eighth,1
1502,348126,1,52,0.0,21.0,Unknown,1
50142,69598,1,68,1.0,1.0,Eighth,1
69598,81886,1,71,2.0,1.0,Eighth,1
81886,95710,1,76,3.0,1.0,Eighth,1
81886,123358,1,56,3.0,3.0,Dotted Quarter,1
95710,107998,1,75,4.0,1.0,Eighth,1
107998,123358,1,76,5.0,1.0,Eighth,1
123358,182238,1,57,6.0,4.0,Half,1
123358,130526,1,73,6.0,0.275,Thirty Second,1
129501,134622,1,75,6.25,0.275,Thirty Second,1
134622,140766,1,73,6.5,0.5,Sixteenth,1
140766,153054,1,71,7.0,1.0,Eighth,1
153054,165854,1,73,8.0,1.0,Eighth,1
165854,210910,1,76,9.0,3.0,Dotted Quarter,1
182238,193502,1,56,10.0,1.0,Eighth,1
193502,210910,1,54,11.0,1.0,Eighth,1
210910,217566,1,71,12.0,0.275,Thirty Second,1
210910,272350,1,56,12.0,4.0,Half,1
216029,221662,1,73,12.25,0.275,Thirty Second,1
221662,227806,1,71,12.5,0.5,Sixteenth,1
227806,242142,1,69,13.0,1.0,Eighth,1
242142,260061,1,71,14.0,1.0,Eighth,1
260061,303582,1,76,15.0,3.0,Dotted Quarter,1
272350,286174,1,57,16.0,1.0,Eighth,1
286174,303582,1,56,17.0,1.0,Eighth,1
303582,318430,1,69,18.0,1.0,Eighth,1
303582,393182,1,54,18.0,6.0,Dotted Half,1
318430,333278,1,71,19.0,1.0,Eighth,1
333278,348126,1,73,20.0,1.0,Eighth,1
348126,393182,1,51,21.0,3.0,Dotted Quarter,1
348126,361438,1,71,21.0,1.0,Eighth,1
361438,377310,1,73,22.0,1.0,Eighth,1
377310,393182,1,69,23.0,1.0,Eighth,1
393182,407006,1,68,24.0,1.0,Eighth,1
393182,407006,1,52,24.0,1.0,Eighth,1
407006,422366,1,56,25.0,1.0,Eighth,1
407006,422366,1,71,25.0,1.0,Eighth,1
422366,437214,1,76,26.0,1.0,Eighth,1
422366,437214,1,59,26.0,1.0,Eighth,1
437214,496093,1,80,27.0,4.0,Half,1
437214,454109,1,64,27.0,1.0,Eighth,1
454109,466398,1,63,28.0,1.0,Eighth,1
466398,480733,1,64,29.0,1.0,Eighth,1
480733,572894,1,58,30.0,6.0,Dotted Half,1
496093,510942,1,78,31.0,1.0,Eighth,1
510942,526814,1,76,32.0,1.0,Eighth,1
510942,526814,1,61,32.0,1.0,Eighth,1
526814,572894,1,66,33.0,3.0,Dotted Quarter,1
526814,540638,1,75,33.0,1.0,Eighth,1
540638,554974,1,76,34.0,1.0,Eighth,1
554974,571358,1,73,35.0,0.916666666667,Eighth,1
572894,590302,1,47,36.0,1.0,Eighth,1
572894,575454,1,73,36.025,0.275,Thirty Second,1
575454,584670,1,75,36.275,0.275,Thirty Second,1
584670,587742,1,76,36.525,0.275,Thirty Second,1
587230,591326,1,75,36.775,0.275,Thirty Second,1
590302,606174,1,51,37.0,1.0,Eighth,1
590302,595422,1,76,37.025,0.275,Thirty Second,1
594910,680414,1,75,37.275,5.75,Dotted Half,1
606174,620510,1,54,38.0,1.0,Eighth,1
620510,630750,1,59,39.0,1.0,Eighth,1
630750,646110,1,58,40.0,1.0,Eighth,1
646110,661982,1,59,41.0,1.0,Eighth,1
661982,754141,1,52,42.0,6.0,Dotted Half,1
680414,691678,1,76,43.025,1.0,Eighth,1
691678,706525,1,59,44.0,1.0,Eighth,1
