start_time,end_time,instrument,note,start_beat,end_beat,note_value,Instrument Group,Time Chunks
185310,399326,1,49,0.0104166666667,3.97916666667,Whole,1,"[3, 4, 5]"
185310,399326,1,37,0.0104166666667,3.97916666667,Whole,1,"[3, 4, 5]"
185310,235486,1,56,0.0104166666667,0.65625,Dotted Eighth,1,[3]
211422,254942,1,61,0.333333333333,0.65625,Dotted Eighth,1,[3]
235486,272862,1,64,0.666666666667,0.65625,Dotted Eighth,1,[3]
255454,287198,1,56,1.0,0.65625,Dotted Eighth,1,[3]
272862,301022,1,61,1.33333333333,0.65625,Dotted Eighth,1,[4]
287710,314846,1,64,1.66666666667,0.65625,Dotted Eighth,1,[4]
301534,330206,1,56,2.0,0.65625,Dotted Eighth,1,[4]
315358,345566,1,61,2.33333333333,0.65625,Dotted Eighth,1,[4]
330718,360413,1,64,2.66666666667,0.65625,Dotted Eighth,1,[4]
346078,380894,1,56,3.0,0.65625,Dotted Eighth,1,[5]
360926,399326,1,61,3.33333333333,0.65625,Dotted Eighth,1,[5]
381405,416222,1,64,3.66666666667,0.65625,Dotted Eighth,1,[5]
399838,594910,1,47,4.0,3.98958333333,Whole,1,"[5, 6, 7]"
399838,594910,1,35,4.0,3.98958333333,Whole,1,"[5, 6, 7]"
399838,434654,1,56,4.0,0.65625,Dotted Eighth,1,[5]
417246,453086,1,61,4.33333333333,0.65625,Dotted Eighth,1,[5]
435166,471518,1,64,4.66666666667,0.65625,Dotted Eighth,1,[6]
453598,487902,1,56,5.0,0.65625,Dotted Eighth,1,[6]
471518,501214,1,61,5.33333333333,0.65625,Dotted Eighth,1,[6]
488414,516062,1,64,5.66666666667,0.65625,Dotted Eighth,1,[6]
501725,529374,1,56,6.0,0.65625,Dotted Eighth,1,[6]
516574,545246,1,61,6.33333333333,0.65625,Dotted Eighth,1,[6]
529886,560606,1,64,6.66666666667,0.65625,Dotted Eighth,1,[7]
545758,575966,1,56,7.0,0.65625,Dotted Eighth,1,[7]
560606,594910,1,61,7.33333333333,0.65625,Dotted Eighth,1,[7]
576478,594910,1,64,7.66666666667,0.322916666667,Triplet,1,[7]
595422,694238,1,45,8.0,1.98958333333,Half,1,"[7, 8]"
595422,694238,1,33,8.0,1.98958333333,Half,1,"[7, 8]"
595422,628190,1,57,8.0,0.65625,Dotted Eighth,1,[7]
611294,644574,1,61,8.33333333333,0.65625,Dotted Eighth,1,[8]
628702,659934,1,64,8.66666666667,0.65625,Dotted Eighth,1,[8]
645086,675294,1,57,9.0,0.65625,Dotted Eighth,1,[8]
660446,694238,1,61,9.33333333333,0.65625,Dotted Eighth,1,[8]
675806,715230,1,64,9.66666666667,0.65625,Dotted Eighth,1,[8]
695262,731102,1,57,10.0,0.65625,Dotted Eighth,1,[9]
695262,795102,1,30,10.0,1.98958333333,Half,1,"[9, 10]"
695262,795102,1,42,10.0,1.98958333333,Half,1,"[9, 10]"
715230,749022,1,62,10.3333333333,0.65625,Dotted Eighth,1,[9]
731613,765918,1,66,10.6666666667,0.65625,Dotted Eighth,1,[9]
749534,779742,1,57,11.0,0.65625,Dotted Eighth,1,[9]
766430,795102,1,62,11.3333333333,0.65625,Dotted Eighth,1,[9]
780254,795102,1,66,11.6666666667,0.322916666667,Triplet,1,[10]
795614,888285,1,32,12.0,1.98958333333,Half,1,"[10, 11]"
795614,828894,1,56,12.0,0.65625,Dotted Eighth,1,[10]
795614,888285,1,44,12.0,1.98958333333,Half,1,"[10, 11]"
811998,843742,1,60,12.3333333333,0.65625,Dotted Eighth,1,[10]
829405,856542,1,66,12.6666666667,0.65625,Dotted Eighth,1,[10]
844254,873438,1,56,13.0,0.65625,Dotted Eighth,1,[10]
857054,888285,1,60,13.3333333333,0.65625,Dotted Eighth,1,[10]
873950,904670,1,66,13.6666666667,0.65625,Dotted Eighth,1,[11]
888798,922078,1,56,14.0,0.65625,Dotted Eighth,1,[11]
888798,1010142,1,32,14.0,1.98958333333,Half,1,"[11, 12]"
888798,1010142,1,44,14.0,1.98958333333,Half,1,"[11, 12]"
905181,941533,1,61,14.3333333333,0.65625,Dotted Eighth,1,[11]
922590,960478,1,63,14.6666666667,0.65625,Dotted Eighth,1,[11]
942046,986590,1,54,15.0,0.65625,Dotted Eighth,1,[11]
960989,1010142,1,60,15.3333333333,0.65625,Dotted Eighth,1,[12]
987102,1010142,1,63,15.6666666667,0.322916666667,Triplet,1,[12]
1011678,1049054,1,52,16.0,0.65625,Dotted Eighth,1,[12]
1011678,1221598,1,37,16.0,3.98958333333,Whole,1,"[12, 13, 14]"
1011678,1221598,1,44,16.0,3.98958333333,Whole,1,"[12, 13, 14]"
1011678,1221598,1,49,16.0,3.98958333333,Whole,1,"[12, 13, 14]"
1033693,1065438,1,56,16.3333333333,0.65625,Dotted Eighth,1,[12]
1049566,1083358,1,61,16.6666666667,0.65625,Dotted Eighth,1,[13]
1065950,1101278,1,56,17.0,0.65625,Dotted Eighth,1,[13]
1083870,1118174,1,61,17.3333333333,0.65625,Dotted Eighth,1,[13]
1101790,1133534,1,64,17.6666666667,0.65625,Dotted Eighth,1,[13]
1118686,1149406,1,56,18.0,0.65625,Dotted Eighth,1,[13]
1134046,1165790,1,61,18.3333333333,0.65625,Dotted Eighth,1,[14]
1149918,1182174,1,64,18.6666666667,0.65625,Dotted Eighth,1,[14]
1166302,1199582,1,56,19.0,0.65625,Dotted Eighth,1,[14]
1166302,1204190,1,68,19.0,0.739583333333,Dotted Eighth,1,[14]
1182686,1221598,1,61,19.3333333333,0.65625,Dotted Eighth,1,[14]
1200094,1221598,1,64,19.6666666667,0.322916666667,Triplet,1,[14]
1204702,1221598,1,68,19.75,0.239583333333,Sixteenth,1,[14]
1222110,1374174,1,68,20.0,2.98958333333,Dotted Half,1,"[15, 16]"
1222110,1431518,1,48,20.0,3.98958333333,Whole,1,"[15, 16, 17]"
1222110,1431518,1,44,20.0,3.98958333333,Whole,1,"[15, 16, 17]"
1222110,1431518,1,36,20.0,3.98958333333,Whole,1,"[15, 16, 17]"
1222110,1253342,1,56,20.0,0.65625,Dotted Eighth,1,[15]
1237982,1269214,1,63,20.3333333333,0.65625,Dotted Eighth,1,[15]
1253854,1286110,1,66,20.6666666667,0.65625,Dotted Eighth,1,[15]
1269726,1309662,1,56,21.0,0.65625,Dotted Eighth,1,[15]
1286622,1327582,1,63,21.3333333333,0.65625,Dotted Eighth,1,[15]
1310174,1340894,1,66,21.6666666667,0.65625,Dotted Eighth,1,[16]
1327582,1356766,1,56,22.0,0.65625,Dotted Eighth,1,[16]
1341406,1374174,1,63,22.3333333333,0.65625,Dotted Eighth,1,[16]
1357278,1390558,1,66,22.6666666667,0.65625,Dotted Eighth,1,[16]
1374686,1411550,1,56,23.0,0.65625,Dotted Eighth,1,[16]
1374686,1416158,1,68,23.0,0.739583333333,Dotted Eighth,1,[16]
1392094,1431518,1,63,23.3333333333,0.65625,Dotted Eighth,1,[17]
1412062,1431518,1,66,23.6666666667,0.322916666667,Triplet,1,[17]
1416670,1431518,1,68,23.75,0.239583333333,Sixteenth,1,[17]
1432030,1535453,1,37,24.0,1.98958333333,Half,1,"[17, 18]"
1432030,1535453,1,68,24.0,1.98958333333,Half,1,"[17, 18]"
1432030,1470942,1,56,24.0,0.65625,Dotted Eighth,1,[17]
