start_time,end_time,instrument,note,start_beat,end_beat,note_value,Instrument Group
28126,46557,1,56,1.0,0.5,Eighth,1
46557,66014,1,63,1.5,0.5,Eighth,1
66014,86494,1,60,2.0,0.5,Eighth,1
86494,102366,1,56,2.5,0.5,Eighth,1
102366,120798,1,65,3.0,0.5,Eighth,1
120798,140254,1,61,3.5,0.5,Eighth,1
140254,187357,1,63,4.0,1.25,Tied Quarter-Sixteenth,1
179677,196574,1,51,5.0,0.5,Eighth,1
187357,196574,1,61,5.25,0.25,Sixteenth,1
196574,215006,1,56,5.5,0.5,Eighth,1
196574,205278,1,60,5.5,0.25,Sixteenth,1
205278,215006,1,61,5.75,0.25,Sixteenth,1
215006,231389,1,55,6.0,0.5,Eighth,1
215006,222686,1,63,6.0,0.25,Sixteenth,1
222686,231389,1,65,6.25,0.25,Sixteenth,1
231389,240094,1,67,6.5,0.25,Sixteenth,1
231389,247774,1,51,6.5,0.5,Eighth,1
240094,247774,1,63,6.75,0.25,Sixteenth,1
247774,265694,1,60,7.0,0.5,Eighth,1
247774,255454,1,68,7.0,0.25,Sixteenth,1
255454,265694,1,70,7.25,0.25,Sixteenth,1
265694,282590,1,56,7.5,0.5,Eighth,1
265694,272350,1,72,7.5,0.25,Sixteenth,1
272350,282590,1,70,7.75,0.25,Sixteenth,1
282590,291294,1,68,8.0,0.25,Sixteenth,1
282590,299486,1,58,8.0,0.5,Eighth,1
291294,299486,1,67,8.25,0.25,Sixteenth,1
299486,305118,1,65,8.5,0.25,Sixteenth,1
299486,315358,1,51,8.5,0.5,Eighth,1
305118,315358,1,68,8.75,0.25,Sixteenth,1
315358,332254,1,58,9.0,0.5,Eighth,1
315358,386526,1,67,9.0,2.0,Half,1
332254,350174,1,55,9.5,0.5,Eighth,1
350174,369118,1,56,10.0,0.5,Eighth,1
369118,386526,1,51,10.5,0.5,Eighth,1
386526,405982,1,56,11.0,0.5,Eighth,1
386526,434142,1,65,11.0,1.25,Tied Quarter-Sixteenth,1
405982,424414,1,53,11.5,0.5,Eighth,1
424414,468958,1,55,12.0,1.25,Tied Quarter-Sixteenth,1
434142,441310,1,63,12.25,0.25,Sixteenth,1
441310,449502,1,62,12.5,0.25,Sixteenth,1
449502,459741,1,65,12.75,0.25,Sixteenth,1
459741,510430,1,63,13.0,1.5,Dotted Quarter,1
468958,477662,1,48,13.25,0.25,Sixteenth,1
477662,486366,1,49,13.5,0.25,Sixteenth,1
486366,494046,1,51,13.75,0.25,Sixteenth,1
494046,502750,1,53,14.0,0.25,Sixteenth,1
502750,510430,1,55,14.25,0.25,Sixteenth,1
510430,519646,1,61,14.5,0.25,Sixteenth,1
510430,519646,1,56,14.5,0.25,Sixteenth,1
519646,528862,1,60,14.75,0.25,Sixteenth,1
519646,528862,1,53,14.75,0.25,Sixteenth,1
528862,538078,1,61,15.0,0.25,Sixteenth,1
528862,538078,1,58,15.0,0.25,Sixteenth,1
538078,544222,1,65,15.25,0.25,Sixteenth,1
538078,544222,1,60,15.25,0.25,Sixteenth,1
544222,553438,1,61,15.5,0.25,Sixteenth,1
544222,553438,1,70,15.5,0.25,Sixteenth,1
553438,562654,1,68,15.75,0.25,Sixteenth,1
553438,562654,1,60,15.75,0.25,Sixteenth,1
562654,570334,1,67,16.0,0.25,Sixteenth,1
562654,570334,1,58,16.0,0.25,Sixteenth,1
570334,579038,1,65,16.25,0.25,Sixteenth,1
570334,579038,1,56,16.25,0.25,Sixteenth,1
579038,588766,1,63,16.5,0.25,Sixteenth,1
579038,588766,1,55,16.5,0.25,Sixteenth,1
588766,596958,1,61,16.75,0.25,Sixteenth,1
588766,596958,1,58,16.75,0.25,Sixteenth,1
596958,605662,1,60,17.0,0.25,Sixteenth,1
596958,613854,1,68,17.0,0.5,Eighth,1
596958,638942,1,56,17.0,1.25,Tied Quarter-Sixteenth,1
605662,613854,1,58,17.25,0.25,Sixteenth,1
613854,629214,1,75,17.5,0.5,Eighth,1
613854,621022,1,60,17.5,0.25,Sixteenth,1
621022,629214,1,61,17.75,0.25,Sixteenth,1
629214,648158,1,72,18.0,0.5,Eighth,1
629214,664542,1,63,18.0,1.0,Quarter,1
638942,648158,1,44,18.25,0.25,Sixteenth,1
648158,655838,1,46,18.5,0.25,Sixteenth,1
648158,664542,1,68,18.5,0.5,Eighth,1
655838,664542,1,48,18.75,0.25,Sixteenth,1
664542,680926,1,77,19.0,0.5,Eighth,1
664542,673246,1,49,19.0,0.25,Sixteenth,1
664542,697822,1,56,19.0,1.0,Quarter,1
673246,680926,1,51,19.25,0.25,Sixteenth,1
680926,697822,1,73,19.5,0.5,Eighth,1
680926,689118,1,53,19.5,0.25,Sixteenth,1
689118,697822,1,51,19.75,0.25,Sixteenth,1
697822,803294,1,75,20.0,3.0,Dotted Half,1
697822,707550,1,49,20.0,0.25,Sixteenth,1
697822,733662,1,55,20.0,1.0,Quarter,1
707550,716254,1,48,20.25,0.25,Sixteenth,1
716254,723934,1,46,20.5,0.25,Sixteenth,1
723934,733662,1,49,20.75,0.25,Sixteenth,1
733662,749534,1,63,21.0,0.5,Eighth,1
733662,741342,1,56,21.0,0.25,Sixteenth,1
733662,759262,1,48,21.0,0.75,Dotted Eighth,1
741342,749534,1,58,21.25,0.25,Sixteenth,1
749534,768478,1,68,21.5,0.5,Eighth,1
749534,768478,1,60,21.5,0.5,Eighth,1
759262,768478,1,50,21.75,0.25,Sixteenth,1
768478,786910,1,67,22.0,0.5,Eighth,1
768478,796638,1,58,22.0,0.75,Dotted Eighth,1
768478,777694,1,51,22.0,0.25,Sixteenth,1
777694,786910,1,53,22.25,0.25,Sixteenth,1
786910,803294,1,63,22.5,0.5,Eighth,1
786910,811486,1,55,22.5,0.75,Dotted Eighth,1
796638,803294,1,58,22.75,0.25,Sixteenth,1
803294,821213,1,72,23.0,0.5,Eighth,1
803294,821213,1,56,23.0,0.5,Eighth,1
803294,838110,1,80,23.0,1.0,Quarter,1
811486,821213,1,55,23.25,0.25,Sixteenth,1
821213,828382,1,53,23.5,0.25,Sixteenth,1
821213,838110,1,68,23.5,0.5,Eighth,1
821213,838110,1,60,23.5,0.5,Eighth,1
828382,838110,1,51,23.75,0.25,Sixteenth,1
838110,853470,1,53,24.0,0.5,Eighth,1
838110,845790,1,50,24.0,0.25,Sixteenth,1
838110,871389,1,80,24.0,1.0,Quarter,1
838110,871389,1,70,24.0,1.0,Quarter,1
845790,853470,1,46,24.25,0.25,Sixteenth,1
853470,863710,1,48,24.5,0.25,Sixteenth,1
863710,871389,1,50,24.75,0.25,Sixteenth,1
871389,905181,1,79,25.0,1.0,Quarter,1
871389,923102,1,51,25.0,1.5,Dotted Quarter,1
880606,889310,1,63,25.25,0.25,Sixteenth,1
889310,895966,1,65,25.5,0.25,Sixteenth,1
895966,905181,1,67,25.75,0.25,Sixteenth,1
905181,916446,1,68,26.0,0.25,Sixteenth,1
905181,978910,1,77,26.0,2.25,Half,1
916446,923102,1,70,26.25,0.25,Sixteenth,1
923102,936414,1,56,26.5,0.5,Eighth,1
923102,929758,1,72,26.5,0.25,Sixteenth,1
929758,936414,1,70,26.75,0.25,Sixteenth,1
936414,945118,1,68,27.0,0.25,Sixteenth,1
936414,954846,1,49,27.0,0.5,Eighth,1
945118,954846,1,67,27.25,0.25,Sixteenth,1
954846,962014,1,65,27.5,0.25,Sixteenth,1
954846,971230,1,58,27.5,0.5,Eighth,1
962014,971230,1,68,27.75,0.25,Sixteenth,1
971230,1039325,1,67,28.0,2.0,Half,1
971230,1013726,1,51,28.0,1.20833333333,Tied Quarter-Sixteenth,1
978910,987102,1,70,28.25,0.25,Sixteenth,1
987102,996318,1,72,28.5,0.25,Sixteenth,1
996318,1006046,1,74,28.75,0.25,Sixteenth,1
1006046,1057758,1,75,29.0,1.5,Dotted Quarter,1
1014237,1021918,1,51,29.2625,0.25,Sixteenth,1
1021918,1030622,1,53,29.5125,0.25,Sixteenth,1
1030622,1039838,1,55,29.7625,0.25,Sixteenth,1
1039325,1109470,1,65,30.0,2.0,Half,1
1039838,1048542,1,56,30.0125,0.25,Sixteenth,1
1048542,1058270,1,58,30.2625,0.25,Sixteenth,1
1057758,1074654,1,80,30.5,0.5,Eighth,1
1058270,1065950,1,60,30.5125,0.25,Sixteenth,1
1065950,1075166,1,58,30.7625,0.25,Sixteenth,1
1074654,1091550,1,73,31.0,0.5,Eighth,1
1075166,1083870,1,56,31.0125,0.25,Sixteenth,1
1083870,1093086,1,55,31.2625,0.25,Sixteenth,1
1091550,1109470,1,82,31.5,0.5,Eighth,1
1093086,1102814,1,53,31.5125,0.25,Sixteenth,1
1102814,1109982,1,56,31.7625,0.25,Sixteenth,1
1109470,1144286,1,73,32.0,1.0,Quarter,1
1109982,1128414,1,55,32.0125,0.5,Eighth,1
1118174,1127902,1,63,32.25,0.25,Sixteenth,1
1127902,1136094,1,65,32.5,0.25,Sixteenth,1
1128414,1144798,1,51,32.5125,0.5,Eighth,1
1136094,1144286,1,67,32.75,0.25,Sixteenth,1
1144286,1210334,1,68,33.0,2.0,Half,1
1144286,1176542,1,72,33.0,1.0,Quarter,1
1150942,1160158,1,44,33.2625,0.25,Sixteenth,1
1160158,1169374,1,46,33.5125,0.25,Sixteenth,1
1169374,1177054,1,48,33.7625,0.25,Sixteenth,1
1176542,1243102,1,70,34.0,2.0,Half,1
1177054,1184734,1,49,34.0125,0.25,Sixteenth,1
1184734,1194462,1,51,34.2625,0.25,Sixteenth,1
1194462,1202654,1,53,34.5125,0.25,Sixteenth,1
1202654,1210334,1,51,34.7625,0.25,Sixteenth,1
1210334,1243102,1,67,35.0,1.0,Quarter,1
1210334,1217502,1,49,35.0125,0.25,Sixteenth,1
1217502,1227742,1,48,35.2625,0.25,Sixteenth,1
1227742,1235422,1,46,35.5125,0.25,Sixteenth,1
1235422,1243102,1,49,35.7625,0.25,Sixteenth,1
1243102,1321950,1,68,36.0,2.20833333333,Half,1
1243102,1260510,1,68,36.0,0.5,Eighth,1
1243102,1291230,1,48,36.0125,1.25,Tied Quarter-Sixteenth,1
1260510,1268702,1,67,36.5,0.25,Sixteenth,1
1268702,1280478,1,65,36.75,0.25,Sixteenth,1
1280478,1299422,1,56,37.0,0.5,Eighth,1
1280478,1290718,1,63,37.0,0.25,Sixteenth,1
1290718,1299422,1,61,37.25,0.25,Sixteenth,1
1291230,1299934,1,49,37.2625,0.25,Sixteenth,1
1299422,1306590,1,60,37.5,0.25,Sixteenth,1
1299422,1314782,1,63,37.5,0.5,Eighth,1
1299934,1307102,1,51,37.5125,0.25,Sixteenth,1
1306590,1314782,1,61,37.75,0.25,Sixteenth,1
1307102,1315294,1,48,37.7625,0.25,Sixteenth,1
1314782,1333214,1,63,38.0,0.5,Eighth,1
1314782,1333214,1,60,38.0,0.5,Eighth,1
1315294,1357278,1,53,38.0125,1.25,Tied Quarter-Sixteenth,1
1324510,1333214,1,68,38.2625,0.25,Sixteenth,1
1333214,1348062,1,56,38.5,0.5,Eighth,1
1333214,1341918,1,70,38.5125,0.25,Sixteenth,1
1341918,1348574,1,72,38.7625,0.25,Sixteenth,1
1348062,1365470,1,65,39.0,0.5,Eighth,1
1348574,1393118,1,73,39.0125,1.25,Tied Quarter-Sixteenth,1
1357278,1365982,1,51,39.2625,0.25,Sixteenth,1
1365470,1382878,1,56,39.5,0.5,Eighth,1
1365470,1382878,1,61,39.5,0.5,Eighth,1
1365982,1373662,1,53,39.5125,0.25,Sixteenth,1
1373662,1383390,1,49,39.7625,0.25,Sixteenth,1
1382878,1416158,1,63,40.0,1.0,Quarter,1
1382878,1400286,1,68,40.0,0.5,Eighth,1
1383390,1393118,1,56,40.0125,0.25,Sixteenth,1
1393118,1400798,1,70,40.2625,0.25,Sixteenth,1
1393118,1400798,1,55,40.2625,0.25,Sixteenth,1
1400798,1410014,1,72,40.5125,0.25,Sixteenth,1
1400798,1410014,1,56,40.5125,0.25,Sixteenth,1
1410014,1416670,1,58,40.7625,0.25,Sixteenth,1
1410014,1416670,1,75,40.7625,0.25,Sixteenth,1
1416158,1482206,1,63,41.0,2.0,Half,1
1416670,1423837,1,80,41.0125,0.25,Sixteenth,1
1416670,1433054,1,60,41.0125,0.5,Eighth,1
1423837,1433054,1,79,41.2625,0.25,Sixteenth,1
1433054,1439710,1,80,41.5125,0.25,Sixteenth,1
1433054,1448414,1,55,41.5125,0.5,Eighth,1
1439710,1448414,1,82,41.7625,0.25,Sixteenth,1
1448414,1456094,1,84,42.0125,0.25,Sixteenth,1
1448414,1465310,1,56,42.0125,0.5,Eighth,1
1456094,1465310,1,82,42.2625,0.25,Sixteenth,1
1465310,1472478,1,80,42.5125,0.25,Sixteenth,1
1465310,1482718,1,53,42.5125,0.5,Eighth,1
1472478,1482718,1,79,42.7625,0.25,Sixteenth,1
1482206,1548254,1,61,43.0,2.0,Half,1
1482718,1500126,1,58,43.0125,0.5,Eighth,1
1482718,1491934,1,77,43.0125,0.25,Sixteenth,1
1491934,1500126,1,79,43.2625,0.25,Sixteenth,1
1500126,1507805,1,80,43.5125,0.25,Sixteenth,1
1500126,1517534,1,53,43.5125,0.5,Eighth,1
1507805,1517534,1,84,43.7625,0.25,Sixteenth,1
1517534,1532894,1,55,44.0125,0.5,Eighth,1
1517534,1523678,1,82,44.0125,0.25,Sixteenth,1
1523678,1532894,1,80,44.2625,0.25,Sixteenth,1
1532894,1540574,1,79,44.5125,0.25,Sixteenth,1
1532894,1548766,1,51,44.5125,0.5,Eighth,1
1540574,1548766,1,77,44.7625,0.25,Sixteenth,1
1548254,1616350,1,60,45.0,2.0,Half,1
1548766,1566686,1,56,45.0125,0.5,Eighth,1
1548766,1556446,1,75,45.0125,0.25,Sixteenth,1
1556446,1566686,1,77,45.2625,0.25,Sixteenth,1
1566686,1583582,1,51,45.5125,0.5,Eighth,1
1566686,1576414,1,79,45.5125,0.25,Sixteenth,1
1576414,1583582,1,82,45.7625,0.25,Sixteenth,1
1583582,1599454,1,53,46.0125,0.5,Eighth,1
1583582,1591261,1,80,46.0125,0.25,Sixteenth,1
1591261,1599454,1,79,46.2625,0.25,Sixteenth,1
1599454,1608669,1,77,46.5125,0.25,Sixteenth,1
1599454,1616350,1,50,46.5125,0.5,Eighth,1
1608669,1616350,1,75,46.7625,0.25,Sixteenth,1
1616350,1682398,1,58,47.0,2.0,Half,1
1616350,1625053,1,74,47.0125,0.25,Sixteenth,1
1616350,1632734,1,55,47.0125,0.5,Eighth,1
1625053,1632734,1,75,47.2625,0.25,Sixteenth,1
1632734,1641949,1,77,47.5125,0.25,Sixteenth,1
1632734,1650654,1,50,47.5125,0.5,Eighth,1
1641949,1650654,1,80,47.7625,0.25,Sixteenth,1
1650654,1667550,1,52,48.0125,0.5,Eighth,1
1650654,1658845,1,79,48.0125,0.25,Sixteenth,1
1658845,1667550,1,77,48.2625,0.25,Sixteenth,1
1667550,1675229,1,76,48.5125,0.25,Sixteenth,1
1667550,1682398,1,48,48.5125,0.5,Eighth,1
1675229,1682398,1,79,48.7625,0.25,Sixteenth,1
1682398,1700830,1,65,49.0,0.5,Eighth,1
1682398,1700830,1,56,49.0,0.5,Eighth,1
1682398,1701342,1,50,49.0125,0.5,Eighth,1
1682398,1692637,1,77,49.0125,0.25,Sixteenth,1
1692637,1701342,1,76,49.2625,0.25,Sixteenth,1
1700830,1725917,1,55,49.5,0.75,Dotted Eighth,1
1700830,1716190,1,72,49.5,0.5,Eighth,1
1701342,1708510,1,77,49.5125,0.25,Sixteenth,1
1701342,1716702,1,52,49.5125,0.5,Eighth,1
1708510,1716702,1,79,49.7625,0.25,Sixteenth,1
1716190,1734110,1,68,50.0,0.5,Eighth,1
