Coefficients,Instruments
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.095555566,
0.7477392,
1.7216841,
2.3323572,
2.4479425,
2.7272017,
3.6913383,
5.0035243,
6.207362,
6.7603865,
7.3159966,
8.737671,
10.780659,
12.334646,
12.847502,
12.640313,
13.276248,
15.569274,
18.082478,
19.224434,
18.96634,
18.614414,
19.43782,
21.046799,
22.408527,
23.758825,
24.565907,
24.834759,
24.770039,
25.462936,
27.03519,
28.393589,
29.11515,
30.006752,
31.078026,
32.31205,
33.263893,
34.1882,
34.92389,
35.80952,
54.939533,
100.15134,
124.492386,
137.96204,
143.18352,1
141.76419,1
140.77881,1
142.1949,1
147.58997,1
151.6441,1
151.70155,1
147.8175,1
133.6936,1
127.08118,
127.431854,
129.98698,
132.87439,
135.26419,
134.09271,
130.25061,
127.41498,
128.0087,
130.2048,
131.66528,
131.18837,
128.67209,
126.29044,
124.539566,
122.75343,
122.064316,
121.26364,
119.49135,
116.91106,
114.527435,
