Coefficients,Instruments
2.1052146,
11.561236,
18.86606,3;1
25.160921,3;1
31.17585,3;1
36.88603,3;1
41.539833,3;1
43.785744,3;1
42.788254,3;1
38.887657,3;1
35.512806,3;1
35.921757,3;1
36.101833,3;1
34.887817,3;1
33.113937,3;1
30.3857,3;1
27.56064,3;1
27.079826,3;1
27.081207,3;1
26.198076,3;1
25.149628,3;1
26.28685,3;1
29.673916,3;1
31.674038,3;1
31.019594,3;1
29.361523,3;1
27.879128,3;1
27.02908,3;1
26.742035,3;1
27.658749,3;1
28.095089,3;1
27.480524,3;1
25.798023,3;1
24.253883,3;1
23.800434,3;1
24.556011,3;1
26.258732,3;1
27.468918,3;1
27.864359,3;1
27.399601,3;1
26.728283,3;1
26.245464,3;1
25.82064,3;1
24.820774,3;1
23.174858,3;1
21.433224,3;1
19.509224,3;1
19.04438,3;1
20.282845,3;1
21.913355,3;1
21.030445,3;1
20.15895,3;1
22.49738,3;1
25.439415,3;1
25.404507,3;1
20.396847,3;1
14.230426,3;1
13.165058,3;1
14.446816,3;1
16.704899,3;1
18.565716,3;1
19.723946,3;1
19.595282,3;1
18.026875,3;1
15.4862995,3;1
14.187639,3;1
14.084989,3;1
14.25776,3;1
14.208094,3;1
14.303507,3;1
14.088306,3;1
13.457401,3;1
12.752554,3;1
12.7352915,3;1
12.982542,3;1
13.484114,3;1
14.763605,3;1
16.400684,3;1
17.40224,3;1
17.755558,3;1
17.865372,3;1
17.827473,3;1
17.219166,3;1
16.387877,3;1
16.589638,3;1
19.001556,3;1
21.113674,3;1
21.55867,3;1
20.1712,3;1
17.135532,3;1
14.421509,3;1
13.460833,3;1
13.162697,3;1
13.257826,3;1
13.247248,3;1
15.533331,3;1
18.480492,3;1
19.125004,3;1
17.576904,3;1
16.842136,3;1
18.157272,3;1
19.503227,3;1
19.992363,3;1
19.9787,3;1
19.547089,3;1
19.609375,3;1
19.693237,3;1
20.395689,3;1
21.083351,3;1
21.739784,3;1
23.360386,3;1
24.814816,3;1
26.117779,3;1
26.364712,3;1
24.415955,3;1
21.114689,3;1
17.571314,3;1
16.659664,3;1
17.202696,3;1
17.181791,3;1
16.553766,3;1
15.316547,3;1
14.396772,3;1
15.095937,3;1
15.959418,3;1
16.13184,3;1
15.856686,3;1
14.441999,3;1
13.388618,3;1
12.8265,3;1
13.083876,3;1
13.472586,3;1
13.866907,3;1
13.897025,3;1
13.731352,3;1
14.555579,3;1
15.719732,3;1
16.655573,3;1
17.30038,3;1
17.646109,3;1
16.826263,3;1
15.252404,3;1
13.295225,3;1
11.861382,3;1
11.286975,3;1
13.02243,3;1
15.454996,3;1
16.313274,3;1
15.521198,3;1
13.830805,3;1
13.650026,3;1
14.429407,3;1
16.082306,3;1
18.349474,3;1
20.374828,3;1
20.627796,3;1
19.363125,3;1
18.224586,3;1
18.327518,3;1
18.387192,3;1
17.40783,3;1
16.070042,3;1
15.803633,3;1
15.964654,3;1
15.553194,3;1
13.34959,3;1
10.252506,3;1
8.277201,3;1
7.148115,3;1
6.062916,3;1
5.623741,3;1
7.165024,3;1
8.5149975,3;1
8.980709,3;1
8.471935,3;1
7.2720385,3;1
6.415007,3;1
6.981677,3;1
7.4567966,3;1
7.5599003,3;1
8.04901,3;1
8.781338,3;1
8.991777,3;1
8.218891,3;1
16.031157,3;1
61.47631,3;1
89.148224,3;1
103.1963,3;1
109.07138,3;1
