Coefficients,Instruments
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.5900772,
1.2075224,
1.6617931,
2.156495,
3.2750971,
3.938755,
4.5762215,1
5.324619,1
6.1214476,1
6.5624833,1
7.1882677,1
8.147434,1
9.673912,1
11.715477,1
13.767818,1
15.512299,1
17.000618,1
17.311241,1
17.852964,1
18.273024,1
19.224548,1
20.11895,1
21.548243,1
24.98036,1
28.977173,1
31.470757,1
32.027874,1
30.397816,1
29.121374,1
30.430885,1
33.163654,1
36.540672,1
38.879642,1
40.033165,1
40.031803,1
39.515633,1
38.65973,1
36.7257,1
35.400955,1
35.925865,1
36.31463,1
35.266357,1
33.461136,1
33.112247,1
34.203217,1
34.683094,1
36.318573,1
39.369904,1
42.01596,1
44.80674,1
49.16342,1
53.188633,1
57.331085,1
61.25019,1
64.76349,1
66.28151,1
65.13698,1
63.3736,1
71.84436,1
98.88112,1
121.11345,1
134.99762,1
142.7192,1
147.37013,1
151.02075,1
152.74161,1
152.25487,1
150.55109,1
149.13573,1
147.59201,1
145.52396,1
143.29037,1
142.23921,1
142.15231,1
141.50403,1
141.12985,1
140.3064,1
138.19464,1
136.02728,1
135.53822,1
135.94293,1
135.32706,1
133.63399,1
131.79553,1
130.27992,1
128.85191,1
127.21942,1
126.72016,1
126.429,1
125.51987,1
124.381,1
124.12818,1
124.69995,1
124.452225,1
123.2786,1
122.009766,1
121.17703,1
121.6544,1
122.37688,1
121.93283,1
121.177734,1
120.907936,1
120.96129,1
120.029434,1
117.63068,1
115.309265,1
114.11895,1
113.57214,1
113.11212,1
116.131836,1
123.84267,1
131.5411,1
137.16356,1
139.33276,1
138.20175,1
135.61005,1
133.40048,1
130.97626,1
129.02124,1
127.64803,1
126.377014,1
125.31032,1
124.10751,1
123.06586,1
122.4948,1
122.40773,1
121.5849,1
120.285675,1
119.20306,1
118.60942,1
118.45627,1
118.50791,1
118.55265,1
118.58954,1
118.67441,1
118.603806,1
117.621796,1
122.14392,1
135.66473,1
148.1424,1
157.27908,1
162.45226,1
164.02625,1
164.00406,1
162.50668,1
160.46544,1
159.27734,1
158.4685,1
157.15744,1
156.42007,1
155.55103,1
153.94147,1
152.55238,1
152.23428,1
152.70728,1
152.53058,1
151.66719,1
151.38895,1
151.65945,1
151.1833,1
149.61386,1
148.20984,1
149.48439,1
153.53737,1
157.83813,1
160.08228,1
160.1323,1
159.74405,1
159.53204,1
159.23474,1
158.54562,1
157.16269,1
154.41275,1
151.28365,1
149.89081,1
149.24352,1
