Coefficients,Instruments
2.3705497,
11.041126,
19.306084,1
30.542427,1
36.17067,1
36.768738,1
41.84768,1
51.205456,1
58.50229,1
59.965866,1
55.090836,1
46.419357,1
38.81313,1
35.748592,1
35.54496,1
34.5695,1
32.689327,1
33.500435,1
39.350418,1
46.812115,1
50.92048,1
50.655342,1
47.20405,1
41.86151,1
38.88726,1
40.817177,1
45.115112,1
47.125854,1
45.66018,1
41.527798,1
39.008797,1
40.280952,1
43.310776,1
48.309967,1
52.702694,1
54.03574,1
51.54756,1
49.89689,1
52.739723,1
56.876537,1
59.508858,1
60.552673,1
60.28333,1
59.021328,1
56.913315,1
54.740883,1
52.244514,1
49.542747,1
49.545856,1
49.233498,1
48.726784,1
62.23254,1
100.42965,1
130.4035,1
148.64334,1
157.98413,1
161.40305,1
161.61029,1
160.25446,1
158.14752,1
155.41519,1
152.88525,1
151.251,1
151.84363,1
153.7575,1
154.24951,1
153.39804,1
152.9209,1
153.02142,1
153.60852,1
154.13785,1
153.08641,1
150.14139,1
146.91791,1
145.88693,1
147.67365,1
151.02661,1
153.60072,1
153.1989,1
151.22163,1
152.26471,1
155.53166,1
157.7981,1
158.85825,1
158.49951,1
156.605,1
154.97131,1
153.75491,1
152.54257,1
151.91533,1
151.88412,1
151.84224,1
151.89493,1
153.40762,1
158.04874,1
162.01122,1
162.36891,1
159.49963,1
155.72348,1
153.51176,1
153.78378,1
156.01625,1
158.30966,1
158.7978,1
157.35605,1
154.22083,1
152.07773,1
152.34012,1
153.39911,1
152.98492,1
149.73972,1
147.12515,1
149.27412,1
154.0144,1
157.93956,1
160.96349,1
162.55835,1
162.93439,1
162.54779,1
161.70755,1
162.39539,1
163.77222,1
164.26762,1
163.6157,1
162.36034,1
162.51846,1
163.11116,1
162.07503,1
160.3756,1
159.7457,1
160.0806,1
161.86514,1
164.40709,1
165.88155,1
166.25122,1
167.08298,1
168.48544,1
168.74908,1
168.44333,1
168.907,1
170.08377,1
171.12125,1
170.56479,1
168.43376,1
166.25511,1
165.23018,1
164.16989,1
161.44006,1
158.98788,1
159.73917,1
162.8924,1
164.87903,1
164.80481,1
164.74449,1
165.2297,1
166.22171,1
166.08963,1
165.09038,1
164.20177,1
163.49911,1
164.50015,1
168.03638,1
171.28809,1
171.4784,1
169.25943,1
166.79321,1
166.04922,1
166.12549,1
165.5628,1
167.00012,1
169.4103,1
170.5522,1
170.47717,1
169.62651,1
170.54936,1
172.01375,1
173.35168,1
174.52719,1
174.06079,1
172.77551,1
172.72324,1
173.71887,1
174.0347,1
172.6723,1
170.6087,1
170.16245,1
172.21591,1
174.83092,1
174.89421,1
172.81195,1
169.50269,1
166.6277,1
164.58417,1
164.19867,1
166.55228,1
169.70859,1
171.4278,1
171.43292,1
170.00519,1
169.4421,1
171.24243,1
173.52899,1
174.67499,1
175.31738,1
174.76987,1
172.12527,1
167.85695,1
163.30609,1
159.71526,1
157.91537,1
158.90663,1;3
163.5972,1;3
170.03899,1;3
173.07895,1;3
167.32349,1;3
156.53763,1;3
147.63481,1;3
141.42572,1;3
135.37134,1;3
129.2396,1;3
124.61856,1;3
122.16629,1;3
121.846664,1;3
122.57774,1;3
123.886185,1;3
126.131714,1;3
127.88806,1;3
127.60724,1;3
126.40044,1;3
126.68518,1;3
128.57379,1;3
129.89236,1;3
130.11906,1;3
129.7944,1;3
130.24823,1;3
130.90198,1;3
130.94722,1;3
131.6871,1;3
133.21346,1;3
133.4823,1;3
130.60953,1;3
127.612816,1;3
125.5981,1;3
122.91014,1;3
118.809296,1;3
114.16177,1;3
111.02694,1;3
109.944214,1;3
110.13382,1;3
111.40106,1;3
113.41553,1;3
114.5968,1;3
114.22993,1;3
113.20546,1;3
111.773834,1;3
113.01452,1;3
116.43091,1;3
119.69698,1;3
122.13258,1;3
123.51706,1;3
124.05542,1;3
124.486145,1;3
124.82008,1;3
126.015915,1;3
126.92891,1;3
127.0981,1;3
127.47357,1;3
127.6255,1;3
127.024826,1;3
126.10371,1;3
124.97649,1;3
123.60924,1;3
121.96874,1;3
121.51573,1;3
122.43646,1;3
124.30038,1;3
125.358284,1;3
124.08853,1;3
121.99047,1;3
120.66476,1;3
120.70357,1;3
122.34067,1;3
124.01001,1;3
124.56268,1;3
124.057816,1;3
123.39032,1;3
122.95605,1;3
122.13364,1;3
121.74021,1;3
122.92793,1;3
124.52084,1;3
124.14436,1;3
121.55553,1;3
118.83801,1;3
119.030334,1;3
121.05492,1;3
122.65741,1;3
123.36116,1;3
122.77392,1;3
122.49219,1;3
123.16774,1;3
123.653595,1;3
124.10201,1;3
124.819016,1;3
126.54789,1;3
129.85684,1;3
133.58972,1;3
137.3158,1;3
139.98553,1;3
139.31458,1;3
136.33685,1;3
133.82982,1;3
132.49472,1;3
132.18674,1;3
132.44852,1;3
133.42825,1;3
134.74216,1;3
135.39294,1;3
135.69034,1;3
135.57266,1;3
133.88223,1;3
130.3906,1;3
127.21261,1;3
128.19019,1;3
129.80902,1;3
127.4191,1;3
121.014595,1;3
115.909424,1;3
113.59764,1;3
115.78421,1;3
120.88491,1;3
126.31851,1;3
130.22711,1;3
131.40437,1;3
130.5655,1;3
129.22113,1;3
128.27475,1;3
127.3258,1;3
125.33402,1;3
122.29748,1;3
119.90439,1;3
119.04642,1;3
119.44574,1;3
120.44825,1;3
122.28054,1;3
123.218735,1;3
122.39662,1;3
120.710625,1;3
119.6244,1;3
118.98175,1;3
118.64891,1;3
120.01686,1;3
121.7291,1;3
122.681046,1;3
122.94844,1;3
124.18468,1;3
126.4456,1;3
129.01639,1;3
131.73328,1;3
134.10327,1;3
135.31744,1;3
135.52003,1;3
136.97157,1;3
140.77579,1;3
142.34894,1;3
141.10919,1;3
138.45598,1;3
135.85367,1;3
133.38092,1;3
132.07343,1;3
130.86699,1;3
129.53555,1;3
127.58347,1;3
126.381355,1;3
128.04538,1;3
131.2096,1;3
133.95978,1;3
135.41397,1;3
134.0119,1;3
131.95242,1;3
131.0292,1;3
130.12265,1;3
128.73148,1;3
126.8527,1;3
125.53607,1;3
126.4566,1;3
128.58798,1;3
129.78502,1;3
128.96317,1;3
128.73634,1;3
130.83769,1;3
132.35654,1;3
131.19934,1;3
128.39404,1;3
127.23091,1;3
127.62584,1;3
128.45096,1;3
128.55069,1;3
126.65915,1;3
123.54317,1;3
122.31619,1;3
123.444626,1;3
123.869995,1;3
121.89903,1;3
119.938805,1;3
120.26198,1;3
123.40558,1;3
126.07893,1;3
125.45058,1;3
122.80801,1;3
120.8843,1;3
119.93738,1;3
119.26146,1;3
118.07858,1;3
118.13738,1;3
118.7018,1;3
119.17984,1;3
119.5425,1;3
118.78026,1;3
117.7173,1;3
117.67136,1;3
118.436455,1;3
119.1236,1;3
119.27579,1;3
120.178185,1;3
122.69777,1;3
124.72568,1;3
124.805626,1;3
123.76079,1;3
122.79271,1;3
121.68591,1;3
121.808975,1;3
122.70131,1;3
123.490555,1;3
125.158,1;3
127.52893,1;3
128.4488,1;3
127.43068,1;3
127.06355,1;3
130.05536,1;3
134.61609,1;3
137.13284,1;3
136.42802,1;3
135.39105,1;3
135.5408,1;3
135.12726,1;3
132.97186,1;3
130.74553,1;3
129.81721,1;3
128.08241,1;3
123.02545,1;3
115.849106,1;3
109.923996,1;3
108.58207,1;3
110.283554,1;3
114.37848,1;3
120.08054,1;3
125.45792,1;3
128.36539,1;3
127.31416,1;3
123.54913,1;3
119.94052,1;3
117.851555,1;3
117.27535,1;3
118.966675,1;3
120.961784,1;3
121.97281,1;3
121.432816,1;3
119.35926,1;3
116.275345,1;3
113.28027,1;3
112.00097,1;3
112.5332,1;3
114.74394,1;3
117.78314,1;3
119.279816,1;3
121.00584,1;3
122.902115,1;3
123.38351,1;3
122.99244,1;3
123.06766,1;3
124.85477,1;3
128.1926,1;3
131.5899,1;3
134.52792,1;3
136.29848,1;3
135.19513,1;3
130.29062,1;3
128.27626,1;3
130.65208,1;3
133.38774,1;3
134.50699,1;3
134.9406,1;3
136.84143,1;3
140.43872,1;3
144.51959,1;3
146.70639,1;3
144.73671,1;3
138.88083,1;3
131.68538,1;3
125.86485,1;3
123.118484,1;3
122.37392,1;3
122.72781,1;3
121.181854,1;3
117.36418,1;3
113.99899,1;3
113.74912,1;3
117.39014,1;3
123.1319,1;3
125.08146,1;3
118.943306,1;3
111.79391,1;3
108.35737,1;3
109.47625,1;3
112.34636,1;3
114.10425,1;3
114.78055,1;3
114.054405,1;3
114.08761,1;3
117.24416,1;3
120.46463,1;3
121.12712,1;3
118.894615,1;3
116.2999,1;3
114.95916,1;3
111.77489,1;3
106.33404,1;3
101.5096,1;3
99.38195,1;3
100.69226,1;3
103.69597,1;3
107.03976,1;3
110.76617,1;3
114.75975,1;3
115.95394,1;3
111.52664,1;3
105.88573,1;3
103.755356,1;3
110.97998,1;3
119.66636,1;3
126.96712,1;3
131.5817,1;3
133.14435,1;3
133.48862,1;3
132.68088,1;3
131.19621,1;3
130.28754,1;3
130.64618,1;3
131.49905,1;3
131.6178,1;3
130.78033,1;3
130.60394,1;3
133.74759,1;3
136.58943,1;3
136.9125,1;3
134.41777,1;3
131.05478,1;3
130.67938,1;3
133.2644,1;3
136.41205,1;3
138.37003,1;3
138.04926,1;3
138.4155,1;3
139.12856,1;3
137.67322,1;3
133.29198,1;3
129.61157,1;3
129.65665,1;3
131.68811,1;3
132.3364,1;3
130.37427,1;3
125.89583,1;3
120.43198,1;3
117.09493,1;3
117.50978,1;3
120.03651,1;3
122.447334,1;3
124.03932,1;3
126.75632,1;3
130.36058,1;3
131.97,1;3
129.41794,1;3
124.28053,1;3
120.661354,1;3
119.998985,1;3
121.905914,1;3
124.537674,1;3
125.32721,1;3
124.649536,1;3
123.78545,1;3
124.18741,1;3
123.36508,1;3
119.568985,1;3
113.905075,1;3
110.082825,1;3
109.86035,1;3
112.908295,1;3
119.00548,1;3
126.9346,1;3
131.85449,1;3
132.65944,1;3
132.59467,1;3
133.26859,1;3
135.75026,1;3
138.23654,1;3
139.08891,1;3
138.87317,1;3
137.23792,1;3
133.6673,1;3
129.27026,1;3
125.653145,1;3
122.41757,1;3
118.959984,1;3
115.98445,1;3
115.54147,1;3
115.245224,1;3
112.262886,1;3
106.03432,1;3
98.483574,1;3
97.9841,1;3
104.74315,1;3
111.03389,1;3
114.19458,1;3
113.654915,1;3
110.92656,1;3
108.18872,1;3
106.339485,1;3
107.10217,1;3
109.12103,1;3
109.003136,1;3
108.266624,1;3
110.094376,1;3
114.32456,1;3
118.5809,1;3
120.31127,1;3
118.337456,1;3
114.02727,1;3
109.936844,1;3
106.94768,1;3
105.9973,1;3
105.31485,1;3
104.1399,1;3
104.027374,1;3
105.6703,1;3
108.18999,1;3
110.495636,1;3
112.51099,1;3
113.547806,1;3
