Coefficients,Instruments
17.80843,
31.00624,
41.334496,1;3
47.149395,1;3
49.527237,1;3
50.56878,1;3
50.702225,1;3
48.93482,1;3
46.398323,1;3
45.604267,1;3
48.099884,1;3
51.799686,1;3
56.042717,1;3
57.776943,1;3
56.693115,1;3
53.85907,1;3
51.68358,1;3
52.182037,1;3
53.31769,1;3
53.275665,1;3
52.891254,1;3
52.885117,1;3
53.052574,1;3
52.923355,1;3
52.74762,1;3
52.885086,1;3
53.09302,1;3
53.189407,1;3
53.319336,1;3
53.668888,1;3
55.330738,1;3
56.992783,1;3
57.128395,1;3
55.968803,1;3
54.21395,1;3
52.900303,1;3
52.92765,1;3
52.94179,1;3
52.9296,1;3
53.787075,1;3
53.938736,1;3
53.702675,1;3
54.101967,1;3
55.8943,1;3
58.435223,1;3
59.591396,1;3
59.324097,1;3
60.744186,1;3
62.899418,1;3
65.08063,1;3
66.40213,1;3
67.47838,1;3
69.16127,1;3
70.213684,1;3
70.75525,1;3
70.36911,1;3
68.17023,1;3
66.03899,1;3
64.837975,1;3
63.38939,1;3
61.864487,1;3
61.275856,1;3
62.04815,1;3
62.86223,1;3
62.702816,1;3
61.77274,1;3
60.261223,1;3
58.609894,1;3
58.74312,1;3
59.55822,1;3
59.641354,1;3
59.37455,1;3
58.936337,1;3
58.493935,1;3
58.309853,1;3
57.99051,1;3
57.799774,1;3
57.030243,1;3
69.39676,1;3
97.880005,1;3
117.04352,1;3
124.355606,1;3
132.8443,1;3
143.38895,1;3
149.35474,1;3
152.35886,1;3
154.47534,1;3
156.85773,1;3
159.4285,1;3
160.0453,1;3
158.81189,1;3
156.74051,1;3
155.62273,1;3
157.32716,1;3
160.14024,1;3
162.92775,1;3
165.05827,1;3
166.48254,1;3
168.51657,1;3
170.23862,1;3
171.79178,1;3
174.51566,1;3
177.98322,1;3
181.72546,1;3
183.77795,1;3
183.7724,1;3
183.88873,1;3
184.88422,1;3
185.0909,1;3
184.36116,1;3
182.9898,1;3
181.62794,1;3
180.37622,1;3
177.70323,1;3
171.98096,1;3
167.79788,1;3
166.0696,1;3
165.96931,1;3
165.71094,1;3
164.81046,1;3
162.71843,1;3
160.34747,1;3
158.83118,1;3
157.74829,1;3
156.33145,1;3
155.49493,1;3
155.97385,1;3
157.36719,1;3
159.38986,1;3
160.09921,1;3
159.93298,1;3
160.9206,1;3
162.36742,1;3
164.28024,1;3
167.67978,1;3
170.8591,1;3
172.75912,1;3
172.45778,1;3
171.87463,1;3
170.72827,1;3
169.80867,1;3
170.14946,1;3
171.58842,1;3
173.13211,1;3
174.60623,1;3
173.84802,1;3
170.02954,1;3
166.46742,1;3
166.31729,1;3
168.60974,1;3
171.5039,1;3
175.35892,1;3
178.64838,1;3
180.57426,1;3
182.37544,1;3
184.21298,1;3
185.60246,1;3
186.83296,1;3
187.70847,1;3
187.41608,
185.77846,
182.97186,
179.91644,
176.81961,
173.8978,
172.59523,
172.69345,
175.46933,
180.08699,
184.61653,
187.06299,1;3
186.45604,1;3
183.28233,1;3
180.53958,1;3
180.8536,1;3
181.96489,1;3
181.0921,1;3
177.31628,1;3
173.67389,
170.8205,
168.50287,
168.95189,
171.57632,
175.67328,
180.5036,
183.60327,1;3
183.24153,1;3
181.15881,1;3
178.63928,1;3
177.24156,1;3
174.4385,
167.93597,
160.59262,
154.82033,
151.69601,
152.1883,
157.71376,
165.94067,
171.95627,
173.66315,1;3
173.46843,1;3
172.79861,1;3
170.87476,1;3
168.12384,1;3
166.14589,1;3
160.91408,1;3
145.07947,1;3
134.88824,
133.3499,
138.0776,
146.46632,
154.85985,
159.02185,
159.6802,
160.28806,
162.69693,1;3
165.89484,1;3
169.26263,1;3
171.47168,1;3
171.6825,1;3
170.05234,1;3
168.06322,1;3
167.94528,1;3
172.08466,1;3
177.32147,1;3
179.9773,1;3
180.29257,1;3
181.55945,1;3
183.2662,1;3
184.74736,1;3
185.68109,1;3
185.6417,1;3
184.56442,1;3
183.21695,1;3
182.04077,1;3
178.57204,1;3
170.01675,1;3
161.1841,1;3
156.1947,1;3
152.87524,1;3
149.50247,1;3
147.56535,1;3
148.2502,1;3
149.6973,1;3
148.69481,1;3
145.26697,1;3
143.93968,1;3
146.7323,1;3
151.31892,
155.1135,
157.91939,
159.4621,1;3
160.83954,1;3
163.66147,1;3
168.94786,1;3
174.15536,1;3
177.36992,1;3
178.98917,1;3
179.32996,1;3
178.2377,1;3
175.57541,1;3
172.97815,1;3
171.2073,1;3
169.2703,1;3
168.7467,1;3
169.31664,1;3
165.65408,1;3
158.28671,1;3
150.48337,1;3
148.12527,1;3
150.38072,1;3
155.0602,1;3
160.60776,1;3
165.79811,1;3
170.96692,1;3
175.93007,1;3
178.02458,1;3
176.89447,1;3
174.69806,1;3
173.08752,1;3
173.89041,1;3
176.24182,1;3
179.4851,1;3
182.18149,1;3
183.81044,1;3
183.33374,1;3
181.63647,1;3
179.39633,1;3
178.27876,1;3
178.58096,1;3
179.62524,1;3
180.28783,1;3
180.7222,1;3
181.71713,1;3
183.26186,1;3
184.51178,1;3
184.30493,1;3
180.83298,1;3
175.87915,1;3
171.91812,1;3
167.19739,1;3
163.01067,1;3
158.75114,1;3
153.66133,1;3
150.02692,1;3
151.29274,1;3
155.568,1;3
157.52322,1;3
156.31741,1;3
153.63568,1;3
151.25017,1;3
149.8353,1;3
151.30319,1;3
154.89886,1;3
157.29549,1;3
157.82108,1;3
157.45683,1;3
157.93881,1;3
161.27948,1;3
164.87642,1;3
165.83508,1;3
165.61063,1;3
166.30072,1;3
166.56705,1;3
165.0072,1;3
164.05443,1;3
165.94221,1;3
171.9526,1;3
178.49298,1;3
182.24326,1;3
180.07933,1;3
174.99881,1;3
172.27402,1;3
172.03896,1;3
173.36292,1;3
175.08438,1;3
177.29523,1;3
180.83249,
185.65115,
188.43152,
188.8052,
187.64648,
185.57805,
183.9099,
183.98532,
183.12962,
177.76663,
171.95068,
172.1507,1;3
176.33072,1;3
181.24753,1;3
184.92577,1;3
185.0098,1;3
184.12411,1;3
183.94363,
184.50043,
185.40744,
186.29315,
185.79764,
184.28116,
182.11252,
178.01343,
174.86438,1;3
174.42743,1;3
177.2424,1;3
180.53987,1;3
181.7724,1;3
181.68098,1;3
181.47589,
180.93503,
180.07687,
180.08467,
179.83722,
178.14018,
175.2789,
171.05615,
165.94463,
163.84366,
167.10117,1;3
172.91806,1;3
178.31497,1;3
182.62524,1;3
185.96109,1;3
187.81062,1;3
186.88791,1;3
184.1118,
181.6719,
177.99625,
169.93875,
158.67413,
149.4497,
146.67505,1;3
149.84299,1;3
156.5481,1;3
162.81326,1;3
166.77365,
169.93207,
172.61688,
173.96024,
174.34192,
173.80371,
171.90181,
169.41336,
164.9968,
159.33405,1;3
157.16534,1;3
161.02188,1;3
168.17014,1;3
175.6733,1;3
181.19994,
184.50688,
187.67422,
188.70425,
188.37149,
185.98682,
181.89969,
172.38452,
146.71445,
127.51541,
118.434166,1;3
116.36749,1;3
120.495346,1;3
128.05734,1;3
134.67918,1;3
138.93875,1;3
139.58354,1;3
139.3844,1;3
141.00778,1;3
144.54718,1;3
149.2619,1;3
153.58179,1;3
157.37457,1;3
160.35825,1;3
163.41794,1;3
165.17949,1;3
166.3953,1;3
167.20558,1;3
168.58621,1;3
170.06491,1;3
172.33249,1;3
174.8252,1;3
176.41757,1;3
176.47443,1;3
175.83594,1;3
174.77274,1;3
173.7474,1;3
167.13747,1;3
152.8985,1;3
138.37018,1;3
131.5619,1;3
131.88593,1;3
136.35843,1;3
142.798,1;3
146.4498,1;3
145.63406,1;3
143.2501,1;3
141.89517,1;3
142.66591,1;3
144.83704,1;3
145.6286,1;3
144.69574,1;3
143.85431,1;3
143.28613,1;3
142.56737,1;3
142.43234,1;3
143.65785,1;3
146.74738,1;3
150.47937,1;3
153.09387,1;3
156.94957,1;3
162.19882,1;3
165.9974,1;3
167.7403,1;3
168.6503,1;3
168.80164,1;3
167.89635,1;3
166.94846,1;3
167.73145,1;3
166.06023,1;3
154.39581,1;3
144.45757,1;3
140.26164,1;3
140.55157,1;3
143.96239,1;3
147.12318,1;3
149.12927,1;3
150.5722,1;3
151.82547,1;3
152.45676,1;3
151.67258,1;3
150.15094,1;3
148.62248,1;3
147.18066,1;3
146.90262,1;3
147.63782,1;3
148.59918,1;3
150.51767,1;3
152.7786,1;3
155.22202,1;3
158.19025,1;3
161.46468,1;3
163.9051,1;3
165.61565,1;3
167.51572,1;3
169.70517,1;3
171.13773,1;3
171.03831,1;3
171.16719,1;3
171.70627,1;3
172.52252,1;3
167.85666,1;3
156.81065,1;3
149.93735,1;3
148.32755,1;3
150.4894,1;3
154.54282,1;3
159.8809,1;3
165.52718,1;3
170.36603,1;3
173.99173,1;3
177.376,
181.04684,
183.80298,
185.3387,
184.38168,
177.2832,
165.68176,
154.9271,
148.31226,
145.7987,1;3
147.20003,1;3
151.99265,1;3
158.83469,1;3
165.86662,1;3
168.77008,1;3
169.41977,1;3
170.60019,
172.13205,
169.92412,
156.12424,
140.44229,
131.0065,
127.59572,
127.3392,
128.99075,
133.06235,1;3
138.6864,1;3
145.50928,1;3
153.02055,1;3
159.11383,1;3
163.20467,1;3
166.46452,1;3
167.61438,
160.84521,
148.70876,
137.21332,
130.11005,
128.39691,
132.12787,
139.08188,1;3
148.4466,1;3
157.7769,1;3
161.6193,1;3
161.10019,1;3
160.61076,
161.5426,
162.35727,
160.91895,
154.92825,
145.37209,
136.2359,
129.86583,
128.3069,
133.03835,
141.97586,1;3
150.95029,1;3
157.73535,1;3
161.29688,1;3
161.44559,1;3
160.16748,1;3
159.82129,1;3
162.32324,1;3
165.26892,1;3
165.99225,1;3
164.58713,1;3
164.37881,1;3
166.64209,1;3
168.69302,1;3
168.83597,1;3
169.26181,1;3
169.31151,1;3
168.6633,1;3
170.1654,1;3
174.1701,1;3
177.86847,1;3
179.58496,1;3
178.36961,1;3
176.14993,1;3
168.53903,1;3
157.80661,1;3
149.27527,1;3
144.18837,1;3
141.885,
141.4132,
143.3629,
146.11389,
147.4573,
147.4648,
146.42804,1;3
143.93958,1;3
141.15338,1;3
140.52399,1;3
142.04059,1;3
146.29779,1;3
151.18185,1;3
154.30862,1;3
154.913,1;3
155.36908,1;3
157.28761,1;3
159.66211,1;3
161.3537,1;3
163.78537,1;3
168.05273,1;3
171.43506,1;3
171.99799,1;3
169.79416,1;3
164.60306,1;3
159.72374,1;3
157.08176,1;3
157.61118,1;3
159.98969,1;3
162.28165,1;3
159.72128,1;3
155.56989,1;3
156.371,1;3
161.05661,1;3
166.06029,1;3
169.95612,1;3
173.53235,1;3
177.45853,1;3
180.14066,1;3
181.02768,1;3
182.70903,1;3
185.9125,1;3
189.32379,1;3
191.89932,1;3
193.32959,1;3
194.20602,1;3
194.66731,1;3
195.19987,1;3
196.11359,1;3
195.7423,1;3
194.15654,1;3
192.63214,1;3
192.34094,1;3
193.58011,1;3
195.29654,1;3
194.26291,1;3
190.12064,1;3
185.16292,1;3
181.11847,1;3
178.03873,1;3
174.69928,1;3
169.93195,1;3
164.58524,1;3
159.48578,1;3
153.22052,1;3
149.11171,1;3
148.66415,1;3
151.70172,1;3
156.94403,1;3
161.42255,1;3
162.33884,1;3
160.64047,1;3
157.29807,1;3
154.07004,1;3
152.83826,1;3
153.4188,1;3
154.75658,1;3
156.35301,1;3
157.82831,1;3
159.7688,1;3
162.40164,1;3
165.16885,1;3
167.16177,1;3
168.33176,1;3
168.42465,1;3
167.91031,1;3
167.47054,1;3
166.85988,1;3
166.30867,1;3
164.9993,1;3
163.5761,1;3
160.37186,1;3
158.72348,1;3
161.14505,1;3
165.46024,1;3
169.16937,1;3
171.48048,1;3
174.38638,1;3
179.60306,1;3
184.26807,1;3
186.9841,1;3
188.29018,
188.53084,
188.88942,
188.43567,
185.35484,
177.47726,
167.43704,
161.27484,
160.75288,
164.46536,1;3
170.12578,1;3
175.43974,1;3
179.89723,1;3
181.8396,1;3
181.5586,1;3
180.58224,1;3
179.86044,1;3
178.78653,
172.1022,
157.28897,
143.62808,
138.11118,
140.57372,
146.30585,
152.63547,
158.59085,
164.00427,
168.80576,
171.37195,1;3
171.09451,1;3
170.17126,1;3
169.39417,1;3
167.13785,1;3
160.01175,
149.00067,
141.81699,
140.20375,
142.79489,
147.68571,
154.60605,
162.31386,
167.60452,
167.33472,1;3
165.15776,1;3
164.55534,1;3
163.83817,1;3
163.48883,1;3
164.17899,1;3
156.8581,1;3
149.61139,
146.1976,
145.44379,
144.8563,
143.29205,
143.48047,
146.81667,
151.8104,
157.11008,1;3
160.3895,1;3
161.92258,1;3
163.12738,
164.14828,
165.35904,
162.50598,
157.73802,
153.21027,1;3
151.14699,1;3
151.84592,1;3
154.85901,
158.03387,
159.84732,
160.64998,
162.2221,
164.01321,
165.1045,
164.43524,
154.39536,
146.89412,
144.82074,1;3
142.48248,1;3
136.734,1;3
131.72928,1;3
130.67941,1;3
133.7953,1;3
138.58829,1;3
139.81563,1;3
136.95926,1;3
136.16455,1;3
139.36765,1;3
142.60263,1;3
142.75522,1;3
142.84415,1;3
145.61517,1;3
149.81464,1;3
153.80748,1;3
157.10278,1;3
159.73343,1;3
161.58313,1;3
164.12392,1;3
166.98218,1;3
168.96234,1;3
169.16171,
168.7585,
167.85953,
165.86073,1;3
163.29578,1;3
156.96274,1;3
143.10034,1;3
130.99974,1;3
127.642654,1;3
131.65732,1;3
136.01169,1;3
137.6319,1;3
135.65793,1;3
132.2826,1;3
131.27429,1;3
133.62378,1;3
134.42972,1;3
131.5563,1;3
128.9775,1;3
127.98845,1;3
128.58833,1;3
130.42561,1;3
132.26874,1;3
132.84662,1;3
133.0101,1;3
135.3445,1;3
140.80952,1;3
148.10739,1;3
153.34479,1
155.07202,1
154.24142,1
153.54274,1
154.87514,1
156.32289,1
155.43304,1;3
153.24211,1;3
153.89232,1;3
155.00517,1;3
147.72052,1;3
137.23563,1;3
129.13893,1;3
127.267426,1;3
130.1278,1;3
133.88072,1;3
135.78964,1;3
135.77261,1;3
133.84576,1;3
130.5203,1;3
127.38223,1;3
125.05073,1;3
122.97728,1;3
119.85949,1;3
116.59916,1;3
116.26432,1;3
120.47398,1;3
128.04556,1
135.44064,1
138.85947,1
139.63245,1
139.39088,1
138.36362,1
137.08618,1
137.27164,1
140.23148,1
143.90918,1;3
146.04051,1;3
145.9948,1;3
141.49155,1;3
134.6929,1;3
128.5423,1;3
124.50372,1;3
124.31813,1;3
126.241936,1;3
129.44574,1;3
134.53876,1;3
138.6984,1;3
138.15335,1;3
133.15134,1;3
127.96429,1;3
128.07423,1;3
131.65979,1;3
132.82849,1;3
129.2985,1;3
125.22342,1;3
123.82654,1;3
