0,1,2,3,4,5,6,7,8,9,10,11,12
-477.60107,5.033414,4.9550085,4.8260746,4.6491776,4.42782,4.1663704,3.869946,3.5442998,3.1956801,2.8306947,2.4561496,2.0788965
-469.28766,16.549728,15.797987,14.692293,13.402979,12.088599,10.855873,9.744731,8.740959,7.806711,6.9122696,6.053739,5.2496147
-457.54892,31.869078,27.859686,22.59202,17.325836,13.341972,11.066029,9.987488,9.492735,8.840445,7.4754915,5.716812,4.1361904
-444.4286,46.99523,35.89452,25.747564,19.657703,15.713495,11.790546,8.741945,8.054964,8.43442,7.1140823,3.7787604,0.8736575
-430.923,60.231026,38.623566,24.58048,21.562023,19.006184,11.424086,5.5001144,6.9809217,10.595448,8.475168,2.0112505,-1.455621
-415.1609,72.7772,36.78319,22.01768,24.327217,19.148193,6.6379404,3.395306,9.037468,10.521837,6.1167827,2.9769683,2.0159943
-402.4571,81.73593,34.255604,20.592663,25.053417,14.99756,1.2355747,3.5899873,11.219738,8.968096,3.7468061,4.6777315,6.3523083
-395.3924,86.00723,32.574116,20.838963,24.748325,10.477814,-1.4600198,5.6163917,12.535914,7.829218,3.8084002,6.3066173,7.672752
-392.39566,88.18042,33.72004,22.966717,24.409296,8.840673,-0.670835,5.870346,11.509136,9.182013,5.997985,6.8710675,7.1595945
-393.8521,88.24938,37.06065,25.565536,24.694527,10.381556,0.90005803,4.0883703,10.414242,11.486374,8.319229,7.9770346,6.3398285
-399.3509,85.412796,39.774544,26.692661,24.913353,13.015983,2.439156,2.450489,9.497513,13.241583,10.6923485,8.987543,5.6493425
-406.3771,81.08605,41.001717,25.874794,24.14228,14.961004,3.7225783,2.4476857,9.887516,14.246558,11.727043,8.800344,5.4337645
-414.62576,75.730515,42.255043,24.941563,22.191414,16.097857,6.864662,5.343466,10.171165,12.772215,11.384161,8.310817,5.2269573
-421.56934,70.742744,44.188416,26.598349,20.623985,16.225826,10.728388,8.134868,8.514326,9.195782,9.558645,9.038801,7.0380564
-426.69885,67.34671,46.919342,30.245289,21.561857,16.601635,12.461834,9.024165,6.5694447,6.4356847,9.188339,11.278196,9.227072
-426.62177,68.06174,49.03595,33.29929,23.7634,16.43834,10.425501,6.8884544,5.1553645,5.4265985,8.881957,12.429292,10.951552
-422.1867,71.384735,48.19966,32.69965,24.900219,16.094587,7.7448683,4.9790845,4.93113,4.467298,7.0218816,12.411867,13.039471
-416.87122,73.76683,43.309826,28.755783,26.04412,17.425915,6.081731,3.6607273,5.818589,4.6099253,5.380458,11.973689,14.742729
-412.9618,74.98273,38.571632,25.153759,26.963264,18.707554,5.38485,3.9341173,8.072788,5.591379,3.849222,10.585097,14.949789
-408.63184,77.67552,36.13118,22.397486,26.625881,18.933498,5.321261,5.2351217,10.7483,7.1274347,2.8170369,8.084248,12.522856
-404.43597,80.542984,35.297184,21.225267,25.127525,16.774097,4.1958694,6.2920637,12.171192,7.1274204,2.7226036,7.619584,10.165216
-400.9606,83.15596,36.307564,20.831257,21.655344,14.3029995,3.5433702,6.1243844,11.933493,5.8874416,3.4585955,8.769502,8.572416
-399.9569,84.74406,37.88768,20.117538,18.72063,13.521788,4.764008,5.390644,9.117766,4.310105,4.8893433,10.070977,7.537735
-402.19717,83.91481,38.854416,20.009544,18.572464,14.465361,6.049813,3.992884,5.53313,3.0008154,5.236256,10.043999,7.3593483
-408.08853,80.674164,40.629326,21.409822,19.989765,15.846199,7.2349043,2.9567785,2.4477513,2.3704507,5.4273252,9.302649,7.094672
-413.78958,76.56732,42.303246,24.057854,20.73499,15.429462,7.474815,3.9955006,2.9501815,2.3804479,5.873022,9.839727,6.460472
-416.4355,74.57505,43.472836,26.072153,20.588715,13.442157,6.817126,6.1998806,5.883078,3.589397,5.937051,10.68684,7.950619
-414.56357,76.58336,44.64013,27.02441,20.793293,12.172706,5.428858,6.9405775,8.563275,5.4962497,5.8535147,10.824097,9.667044
-410.617,80.26468,45.260036,27.080719,21.952747,12.873129,4.049425,4.943405,8.303574,6.4143944,5.9693127,10.697323,10.592598
-408.1401,82.10602,44.95849,27.542503,23.919659,13.48872,2.1389067,2.9983454,7.7006497,5.4849596,4.309319,10.493217,12.204943
-407.18652,81.998535,43.73214,27.420063,23.875576,12.966329,2.9472594,4.2916946,7.02287,3.270795,1.9735984,8.767813,12.389957
-407.4359,81.394684,42.91564,25.69771,20.57581,11.560394,6.5326014,8.609953,6.9465456,0.37085208,-0.6613226,6.83543,12.05537
-407.85712,80.966965,41.675606,21.86552,15.651979,10.310804,10.478578,12.946213,7.0006046,-2.3430414,-2.1361213,6.895772,11.672047
-407.8012,80.992935,40.399014,18.67286,13.244271,10.791404,12.311871,14.073532,6.8847437,-3.3279858,-2.8318667,6.865867,11.24922
-406.72842,82.45052,40.888115,18.039885,13.124706,10.913929,11.062576,12.538851,6.5844617,-3.1943007,-2.6964438,7.310768,11.430746
-407.31317,82.75823,42.48784,19.493443,14.019268,10.198396,8.059816,9.834108,6.2517033,-2.6328676,-2.392529,7.683239,11.389511
-408.81467,81.63802,43.61632,22.481457,17.069975,11.217532,6.4171047,7.222595,4.985207,-2.1284106,-1.5584776,7.6866894,10.641905
-410.1749,80.71252,44.67025,24.802658,19.338167,12.461912,6.3991923,6.6720266,4.98342,-1.3174349,-0.40424573,8.8525505,11.275947
-412.7248,78.87276,45.356796,25.550224,19.278728,13.026682,7.8609595,8.104719,6.6264706,1.0235169,1.6350361,9.666799,11.280647
-416.63522,75.56329,45.290104,25.64693,18.384636,13.197774,9.859591,10.580751,9.3065815,4.3852434,4.3037477,9.93915,10.156915
-420.87234,71.38933,44.231224,25.827274,18.501667,13.938702,11.556627,12.495693,11.347879,6.874822,6.285165,10.336702,10.135334
-425.04828,67.09061,42.234856,24.224575,17.53358,15.795738,15.611789,15.555481,12.422453,7.4815545,6.89516,10.617308,11.352686
-426.84598,65.14613,40.794586,22.111788,15.373484,15.783986,18.079659,18.315388,13.822297,7.9332876,7.3287783,11.43005,12.785374
-426.4018,65.7283,41.166306,21.996964,14.686645,15.055992,18.159435,19.311846,14.769009,7.963218,6.765541,11.166904,12.964248
-425.89417,66.63544,42.347866,23.058086,15.260271,15.304359,18.464073,19.607576,14.639394,7.3032274,5.809235,9.960346,11.474851
-425.98798,66.971176,43.271492,23.832794,15.779989,15.9679985,18.775705,18.683094,12.948755,6.15462,5.285818,9.097344,10.26676
-426.97647,66.26712,43.2735,23.309727,14.880766,15.674017,18.427738,17.084663,10.969591,5.440637,5.648859,9.611304,11.249815
-428.74048,64.27794,41.920906,21.885448,13.369769,14.369188,16.76796,14.8537245,9.586206,6.071857,7.2896,10.814997,12.224928
-430.7984,62.01847,40.896202,21.486778,12.635924,12.805689,14.69889,13.528803,10.371014,8.815545,10.063624,11.945379,11.953425
-432.42908,60.472458,40.97035,22.516785,12.939126,11.483833,12.82876,13.105995,12.180516,11.731609,12.2655115,12.43907,11.092401
-433.0688,60.51594,42.67701,24.545204,13.448566,10.054338,10.737897,12.082061,12.929279,13.413431,13.397026,12.371115,10.417639
-431.94812,62.46013,45.08668,26.550383,14.159233,9.53141,9.929859,12.025639,13.977321,14.99073,14.500166,12.437858,9.675399
-430.19235,64.59617,46.3246,26.77171,13.854981,9.611165,11.125232,14.302201,16.50662,16.770218,15.0737705,12.069313,8.899299
-429.2293,65.36816,45.951126,25.944843,13.910629,11.333124,14.10584,17.348854,18.564262,17.503548,14.772485,11.193092,7.7363534
-429.76538,64.47716,44.987125,25.569351,14.91389,13.815123,17.135923,19.532158,19.059673,16.553923,13.272989,9.795153,6.4250317
-432.1876,61.666004,43.84854,26.520721,17.371178,16.493553,18.813656,19.636898,17.887386,15.066416,12.3355465,9.425549,6.035223
-434.7693,59.196182,44.078514,29.035793,20.228588,17.850246,18.212152,17.848602,15.969891,13.765549,11.948887,9.82811,6.9257884
-435.64368,58.768898,45.098545,30.489346,20.690952,16.784645,16.133612,15.749471,14.547578,12.989163,11.533123,9.968239,8.00033
-435.10013,59.158424,44.54288,28.932129,18.66315,15.100764,15.329676,15.699741,14.646233,12.778691,11.178669,10.077438,8.935785
-435.04645,58.814995,43.191124,26.65292,16.307331,13.835645,15.799326,17.46959,16.52473,13.810831,11.378521,10.186579,9.509517
-435.8474,57.611427,41.914825,25.562067,15.781274,14.159813,17.008167,19.254883,18.304922,15.053944,11.950666,10.343449,9.541378
-436.39,56.648468,41.183723,26.078426,17.366507,15.743977,18.185802,19.97269,18.080114,13.951933,11.020593,9.986044,8.947903
-435.48877,57.291348,41.18178,26.698574,18.809093,16.977627,18.568886,19.23368,15.844807,10.808692,8.53042,8.611274,7.7957063
-433.84915,59.214867,42.154633,26.71411,18.292633,16.307571,17.751263,18.043629,14.159035,8.795168,6.6353383,7.314541,7.258164
-433.47418,60.10002,43.501892,27.532064,17.393127,13.669519,14.691772,15.972006,13.450333,8.900034,6.88552,7.4602385,7.459807
-434.26294,59.65393,44.2545,28.433784,16.824087,11.247058,11.787048,14.355978,13.736942,10.31064,8.136862,7.8479795,7.339978
-435.37436,58.422134,43.443977,27.590893,16.022057,10.77099,11.310689,13.679621,13.51982,10.975908,9.05501,8.408997,7.658062
-436.97806,56.69569,42.344532,26.56102,15.717867,11.818909,12.444897,13.660786,13.123011,11.068985,9.051933,8.05504,7.661194
-437.72977,55.85869,42.161423,27.280497,17.162395,13.377277,13.4862,14.028103,13.166306,11.158674,9.13581,7.7832623,6.906557
-438.2208,55.677437,43.05671,28.883484,18.593601,14.080803,13.633894,14.175724,13.624302,11.738306,9.431211,7.593807,6.3766484
-439.07114,54.6529,42.437183,28.633144,18.513292,14.002069,13.508053,14.026377,13.487235,11.6636715,9.481131,7.7685785,6.5538006
-440.8302,52.213066,40.276222,27.099695,17.68858,13.534793,12.985459,13.405058,13.039383,11.611444,9.842771,8.4745655,7.488858
-442.19717,50.458523,39.00107,26.425827,17.47905,13.476629,12.836035,13.192072,13.000721,11.933178,10.490653,9.305646,8.484455
